,SOH,recommendation
23,92.42289019029154,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
24,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
25,91.6995993153139,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
26,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
27,99.09450193794196,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
28,80.14345338458627,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
29,91.31585830383725,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
30,78.99040593847472,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
31,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
32,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
33,95.49178114972214,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
34,96.64011989498512,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
35,89.6313419143674,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
36,77.51536902924576,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
37,99.69310813243732,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
38,99.4751590561322,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
39,88.7226316498925,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
40,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
41,74.29991799149698,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
42,85.25567612545628,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
43,87.85059921837711,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
44,98.55145153147969,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
45,73.48490934739235,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
46,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
47,85.34450254411988,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
48,99.68244247172996,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
49,92.72726871722236,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
50,95.6671865732154,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
51,88.50783188402256,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
52,92.56182567335756,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
53,74.32956542460597,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
54,88.0785710986778,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
55,84.31029451351888,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
56,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
57,75.81632437790694,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
58,87.51199613244223,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
59,71.34791027403637,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
60,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
61,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
62,98.22460029799176,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
63,93.11568721526682,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
64,71.92974220703768,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
65,87.84094376106559,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
66,99.85564946077778,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
67,91.71038509071572,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
68,86.81377957884214,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
69,74.25624105598928,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
70,88.60030912166978,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
71,82.36835300559419,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
72,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
73,71.95472093385442,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
74,94.2268602039198,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
75,89.56504276614879,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
76,87.91524247658505,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
77,73.68694111234987,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
78,74.45479748289499,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
79,96.24763507201764,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
80,94.91626577744935,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
81,77.36906060636043,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
82,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
83,70.23682565821608,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
84,74.60195695341099,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
85,81.7675188330453,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
86,76.19388051086626,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
87,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
88,94.69005367780942,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
89,97.28931643747596,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
90,76.60993921824809,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
91,98.05219624902487,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
92,86.34856411935598,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
93,82.95700127687573,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
94,93.30209823027748,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
95,86.54361694364937,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
96,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
97,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
98,88.67927901278237,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
99,79.3809070696016,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
100,87.61409616250562,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
101,83.75765830498753,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
102,88.69899640342777,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
103,92.90374849867298,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
104,95.96034357225678,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
105,86.16373962825334,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
106,75.06229108204634,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
107,87.71608640329386,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
108,96.84130028305782,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
109,87.69501166840935,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
110,85.6490688459663,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
111,86.60093220860577,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
112,80.9767984867286,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
113,88.21680040358679,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
114,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
115,70.55673818438028,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
116,90.64665455398529,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
117,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
118,88.75364099601767,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
119,95.8376814600332,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
120,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
121,97.39292949378708,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
122,80.4089826444828,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
123,92.97310765495143,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
124,77.76763917968734,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
125,87.72230268242653,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
126,81.39368128978747,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
127,95.1973873396828,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
128,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
129,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
130,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
131,79.84125677544048,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
132,96.62866736093578,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
133,90.95536274168948,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
134,83.13009490091174,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
135,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
136,92.81377494986492,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
137,76.95812403379828,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
138,84.06811816577033,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
139,98.03974365649468,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
140,98.56009376699524,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
141,97.11172099621382,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
142,94.56094801298605,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
143,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
144,76.75045999187716,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
145,97.07735326791962,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
146,82.4944252096911,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
147,93.08412306999874,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
148,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
149,87.4254188194753,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
150,98.3438128156748,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
151,86.44138009081188,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
152,96.0044540834957,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
153,82.70298439031657,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
154,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
155,77.08304771027791,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
156,94.4165614128107,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
157,73.36171252869296,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
158,79.80293518581752,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
159,75.27583600139491,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
160,96.08290921999064,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
161,79.5786249678222,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
162,77.25495917868245,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
163,97.78333898996942,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
164,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
165,76.68868878968392,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
166,77.64306265703483,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
167,87.43566364811743,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
168,81.4646858238478,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
169,75.31403071858503,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
170,88.24934164898063,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
171,83.68048123238043,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
172,94.77044751652636,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
173,83.10937284241676,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
174,97.22351711746732,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
175,87.44840047907152,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
176,83.05028826908689,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
177,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
178,79.05115445978416,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
179,70.8760540795469,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
180,94.55493310187784,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
181,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
182,73.46301844440275,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
183,85.50426596664268,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
184,88.72245702904965,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
185,74.80840522527748,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
186,87.4579785128178,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
187,72.50733481969093,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
188,83.16170521989557,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
189,91.01187729790814,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
190,98.15331692207266,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
191,81.01766754365497,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
192,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
193,84.56684910029668,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
194,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
195,82.26814856378842,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
196,86.23623420117579,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
197,89.65730574895615,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
198,88.99396090337098,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
199,79.30443579109027,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
200,85.48603118920408,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
201,91.46000996114932,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
202,86.78004328296007,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
203,85.91889964061592,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
204,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
205,79.74237886464566,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
206,89.9949273158238,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
207,74.27319081155414,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
208,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
209,80.46585576792629,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
210,70.58547542161304,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
211,96.26412461671993,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
212,75.33064160756442,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
213,86.40645000586578,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
214,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
215,99.16389213106,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
216,99.66353313306918,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
217,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
218,85.534329308378,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
219,74.04418831335127,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
220,80.24522004649175,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
221,82.84784743685917,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
222,99.82430018005812,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
223,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
224,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
225,89.21470575607688,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
226,87.00828081237685,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
227,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
228,84.4380902024857,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
229,90.5038669291965,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
230,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
231,75.00137704758303,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
232,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
233,94.35439253668636,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
234,98.19440752266566,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
235,88.12684743162377,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
236,73.41972339160394,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
237,93.50539041072116,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
238,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
239,98.58964723733052,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
240,97.38850924956796,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
241,76.03275640534218,Poor condition. Battery degradation is advanced. Plan for replacement within the next few months and avoid complete discharges.
242,73.98398259669268,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
243,80.46472751866736,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
244,83.60685766586205,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
245,98.33115567479486,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
246,95.50039992390025,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
247,85.72137627854687,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
248,85.55383984280734,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
249,87.82416248954816,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
250,70.0,Critical condition. Battery has reached end-of-life. Replace as soon as possible to avoid unexpected shutdowns and potential data loss.
251,99.60977018245256,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
252,96.31372393236748,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
253,85.22179090136024,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
254,81.2455038429348,"Fair condition. Battery life noticeably shorter. Optimize device settings, avoid extreme temperatures, and consider reducing heavy usage."
255,86.69618198904988,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
256,87.79476261481504,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
257,92.85264866480745,Very good condition. Minor degradation detected. Optimize charging by keeping battery between 20-80% when possible.
258,78.63972921765193,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
259,87.78557218454796,Above average condition. Consider adjusting usage patterns. Limit fast charging and avoid leaving the battery at 100% for extended periods.
260,77.6126371042975,Below average condition. Significant capacity loss. Use power-saving mode frequently and avoid demanding applications when possible.
261,99.07682258257572,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
262,95.04439084380742,Excellent condition. Battery health is optimal. Continue current practices and avoid extreme temperatures.
263,85.6007697768868,Average condition. Performance decline may be evident. Implement battery-saving measures like reducing screen brightness and background app usage.
264,89.14678099995533,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
265,73.53310515855364,Very poor condition. Battery performance is severely compromised. Prepare for imminent replacement and keep charger readily available.
266,90.40130398848598,Good condition. Slight performance decrease may be noticeable. Avoid frequent full discharges and minimize exposure to high temperatures.
267,98.89284838764203,Exceptional condition. Battery is performing at peak efficiency. Maintain current usage and charging patterns.
